name,id,network,topic,priority,sending,receiving,frequency,contents,description
STEER_VERSION,1024,primary,BROADCAST,3,STEER,"DAS, STEER",1000,"component_version: uint8, cancicd_version: uint8",periodic message containing current can definitions version
DAS_VERSION,1056,primary,BROADCAST,3,DAS,"DAS, STEER",1000,"component_version: uint8, cancicd_version: uint8",periodic message containing current can definitions version
HV_VERSION,1088,primary,BROADCAST,3,BMS_HW,"DAS, STEER",1000,"component_version: uint8, cancicd_version: uint8",periodic message containing current can definitions version
LV_VERSION,1120,primary,BROADCAST,3,BMS_LW,"DAS, STEER",1000,"component_version: uint8, cancicd_version: uint8",periodic message containing current can definitions version
TLM_VERSION,1152,primary,BROADCAST,3,TLM,"DAS, STEER",1000,"component_version: uint8, cancicd_version: uint8",periodic message containing current can definitions version
TIMESTAMP,256,primary,BROADCAST,6,TLM,"STEER, DAS, BMS_HV, BMS_LV",1000,timestamp: uint32,every second unix encoded time and date used by logging devices to sync
SET_TLM_STATUS,257,primary,TLM,6,STEER,TLM,,"tlm_status_set: OFF, ON, race_type: ACCELERATION, SKIDPAD, AUTOCROSS, ENDURANCE, driver: uint8, circuit: uint8","Ask telemetry to turn on/off and send a tuple containing the currenttest, driver, map); only once"
TLM_STATUS,258,primary,STEER,6,TLM,STEER,1000,"tlm_status: ON, OFF, race_type: ACCELERATION, SKIDPAD, AUTOCROSS, ENDURANCE, driver: uint8, circuit: uint8",The answer to the steering wheels message that changes the status of the telemetry
STEER_SYSTEM_STATUS,1793,primary,TLM,0,STEER,TLM,2000,soc_temp: uint8,System stats of the raspberry pi inside the steering wheel
HV_VOLTAGE,771,primary,DASnSTEERnCART,4,BMS_HV,"DAS, STEER, HANDCART",20,"pack_voltage: uint16, bus_voltage: uint16, max_cell_voltage: uint16, min_cell_voltage: uint16",Pack stats
HV_CURRENT,803,primary,DASnSTEERnCART,4,BMS_HV,"DAS, STEER, HANDCART",20,"current: uint16, power: int16",Current supplied by the pack
HV_TEMP,835,primary,DASnSTEERnCART,4,BMS_HV,"DAS, STEER, HANDCART",200,"average_temp: uint16, max_temp: uint16, min_temp: uint16",Cell temperatures
HV_ERRORS,3,primary,DASnSTEERnCART,7,BMS_HV,"DAS, STEER, HANDCART",20,"warnings: Hv_Errors, errors: Hv_Errors",Battery-related errors
